DailyStats,Temp(degC),Salinity(PSU),pH,DO(mg/l),precipitation(mm),Air_temp(degC)
2020-01-01 06:40:00,25.608515,35.182095,8.401986,7.310720,0.001020,22.669516
2020-01-01 06:45:00,26.091463,35.022591,8.269882,7.013893,0.001020,22.936033
2020-01-01 06:50:00,26.011292,35.188915,8.277026,7.044600,0.001020,23.032587
2020-01-01 06:55:00,25.372627,35.248669,8.389380,6.750114,0.001020,22.862408
2020-01-01 07:00:00,25.685316,35.263031,8.262936,7.205512,0.001020,23.377600
2020-01-01 07:05:00,26.089191,35.080055,8.388712,7.035711,0.001020,22.930201
2020-01-01 07:10:00,26.155956,35.108952,8.250326,6.870062,0.001020,23.565090
2020-01-01 07:15:00,26.353975,35.039631,8.344912,6.567290,0.001020,23.502932
2020-01-01 07:20:00,26.050575,35.135815,8.266379,6.899899,0.001020,22.413574
2020-01-01 07:25:00,25.651876,35.298286,8.207440,7.336005,0.001020,22.872475
2020-01-01 07:30:00,26.163168,35.187813,8.211189,6.983407,0.001020,23.208887
2020-01-01 07:35:00,25.891748,35.090759,8.249798,7.112600,0.001020,22.554895
2020-01-01 07:40:00,25.797581,35.088203,8.319456,6.836829,0.001020,23.292013
2020-01-01 07:45:00,25.891005,35.059029,8.252196,6.545476,0.001020,22.844000
2020-01-01 07:50:00,26.204685,35.185886,8.267367,6.870815,0.001020,22.447390
2020-01-01 07:55:00,25.811298,35.236496,8.207660,6.794968,0.001020,22.946556
2020-01-01 08:00:00,26.359058,35.227283,8.335607,6.834196,0.000000,22.727928
2020-01-01 08:05:00,25.891548,35.080101,8.171673,6.966565,0.000000,23.030958
2020-01-01 08:15:00,25.087828,35.153038,8.278137,7.101924,0.000000,23.008026
2020-01-01 08:20:00,25.192837,35.316109,8.257661,7.669744,600.000000,22.886662
2020-01-01 08:25:00,25.172865,35.197556,8.273264,7.011536,0.000000,23.393232
2020-01-01 08:30:00,25.567009,35.349449,8.254736,7.535817,0.000000,23.432583
2020-01-01 08:35:00,25.865393,35.149330,8.181312,7.540500,0.000000,23.108631
2020-01-01 08:40:00,25.538786,35.154144,8.289138,7.690181,0.000000,23.144642
2020-01-01 08:45:00,25.990540,35.358513,8.272358,7.730412,0.000000,23.455431
2020-01-01 08:50:00,25.157566,35.259632,8.369168,7.747917,0.000000,22.201927
2020-01-01 08:55:00,25.511980,35.106853,8.367153,7.638154,0.000000,23.281010
2020-01-01 09:00:00,25.852989,34.963413,8.284034,7.416342,0.000000,23.142063
2020-01-01 09:05:00,25.495176,35.181095,8.328340,7.261670,0.000000,22.557304
2020-01-01 09:10:00,25.591677,35.204487,8.199330,7.431577,0.000000,23.180096
2020-01-01 09:15:00,25.285542,35.272198,8.281075,7.453876,0.000000,22.429043
2020-01-01 09:20:00,25.149563,35.206329,8.163239,7.459517,0.000000,23.605192
2020-01-01 09:25:00,25.584833,35.242401,8.250721,7.454865,0.000000,23.032949
2020-01-01 09:30:00,25.882029,35.085472,8.174507,7.186239,0.000000,23.147173
2020-01-01 09:35:00,25.704933,35.332371,8.203987,7.527838,0.000000,23.614965
2020-01-01 09:40:00,25.983578,35.437347,8.251053,7.776693,0.000000,22.164404
2020-01-01 09:45:00,25.271477,35.337894,8.246640,7.409884,0.000000,23.804733
2020-01-01 09:50:00,25.549885,35.187752,8.212751,7.012205,0.000000,22.365648
2020-01-01 09:55:00,25.469887,35.283993,8.219687,7.538668,0.000000,23.191677
2020-01-01 10:00:00,25.142841,35.151093,8.184841,6.885013,0.000000,22.889544
2020-01-01 10:05:00,25.763538,35.334175,8.254484,6.554798,0.000000,22.951597
2020-01-01 10:10:00,25.322264,35.156055,8.138991,6.800238,0.000000,23.577011
2020-01-01 10:15:00,25.646938,35.151043,8.265402,6.962313,0.000000,22.150642
2020-01-01 10:20:00,25.566069,35.133671,8.191725,6.704046,0.000000,23.088865
2020-01-01 10:25:00,25.725828,35.028606,8.315103,6.871798,0.000000,22.551311
2020-01-01 10:30:00,25.348726,35.084927,8.244994,6.499296,0.000000,22.908876
2020-01-01 10:35:00,25.636532,35.237396,8.231307,6.503609,0.000000,23.232944
2020-01-01 10:40:00,25.791452,35.189667,8.165857,6.552775,0.000000,23.177904
2020-01-01 10:45:00,24.963715,35.284939,8.207148,6.831245,0.000000,22.567974
2020-01-01 10:50:00,25.765615,35.240444,8.208326,6.713480,0.000000,23.536655
2020-01-01 10:55:00,26.294926,35.187557,8.337670,6.771408,0.000000,23.073740
2020-01-01 11:00:00,25.391005,35.313370,8.221721,6.963004,0.000000,22.650288
2020-01-01 11:05:00,25.544317,35.293163,8.211330,7.286636,0.000000,23.038727
2020-01-01 11:10:00,25.169397,35.267433,8.240370,6.463661,0.000000,22.809435
2020-01-01 11:15:00,25.968460,35.335114,8.245722,6.347239,0.000000,22.983807
2020-01-01 11:20:00,25.372597,35.073261,8.266174,6.280158,0.000000,22.507904
2020-01-01 11:25:00,26.034029,35.216099,8.188571,6.720010,0.000000,23.353352
2020-01-01 11:30:00,25.627388,35.414787,8.295520,6.984219,0.000000,22.999725
2020-01-01 11:35:00,25.335613,35.280109,8.183270,7.025324,0.000000,22.693186
2020-01-01 11:45:00,26.160130,35.335957,8.175004,6.873338,0.000000,22.869934
2020-01-01 11:50:00,25.289177,35.223236,8.290875,6.841610,0.000000,23.311882
2020-01-01 11:55:00,24.853218,35.228664,8.301272,6.855088,0.000000,23.355185
2020-01-01 12:00:00,25.459898,35.338444,8.181576,6.536616,0.000000,22.927542
2020-01-01 12:05:00,25.827414,35.028618,8.163855,7.003617,0.000000,22.767784
2020-01-01 12:10:00,25.533955,35.323101,8.269162,6.934558,0.000000,22.951151
2020-01-01 12:15:00,25.885321,35.077328,8.210326,6.597873,0.000000,23.158119
2020-01-01 12:20:00,24.772514,35.085903,8.246434,7.091276,0.000000,23.674631
2020-01-01 12:25:00,25.901407,35.198818,8.171283,6.565064,0.000000,23.377190
2020-01-01 12:30:00,50.000000,35.089966,8.314001,6.990304,0.000000,23.210218
2020-01-01 12:35:00,25.795553,35.121914,8.237964,7.333125,0.000000,23.082279
2020-01-01 12:40:00,25.421820,35.269192,8.182967,7.252464,0.000000,22.806015
2020-01-01 12:45:00,25.183037,35.444363,8.254479,7.438211,0.000000,22.783470
2020-01-01 12:50:00,25.562531,35.286667,8.165486,7.200607,0.000000,23.003220
2020-01-01 12:55:00,25.451941,35.322136,8.233996,7.068612,0.000000,22.972578
2020-01-01 13:00:00,25.917088,35.364376,8.244375,7.271302,0.000000,22.884806
2020-01-01 13:05:00,25.450584,35.251507,8.185411,7.316213,0.000000,22.760193
2020-01-01 13:10:00,25.891293,35.383419,8.251514,7.165313,0.000000,23.590298
2020-01-01 13:15:00,24.865438,35.403397,8.309786,7.008994,0.000000,22.978214
2020-01-01 13:20:00,25.315300,35.311413,8.353502,7.299335,0.000000,22.706514
2020-01-01 13:25:00,25.536860,35.430298,8.284255,7.341163,0.000000,23.040327
2020-01-01 13:30:00,25.611946,35.151501,8.243571,7.153442,0.000000,23.211397
2020-01-01 13:35:00,24.980692,35.068275,8.258373,7.091778,0.000000,23.188982
2020-01-01 13:40:00,24.994341,35.177917,8.188861,7.146562,0.000000,23.305912
2020-01-01 13:45:00,24.905155,35.311382,8.280732,7.092344,0.000000,22.995783
2020-01-01 13:50:00,25.428019,35.178322,8.272809,7.153499,0.000000,23.160246
2020-01-01 13:55:00,25.360588,35.104984,8.260090,7.150270,0.000000,23.422346
2020-01-01 14:00:00,25.459352,35.294827,8.255688,6.725010,0.000000,23.013660
2020-01-01 14:05:00,25.560471,35.174416,8.234479,7.132187,0.000000,24.245005
2020-01-01 14:10:00,25.606388,35.303242,8.228382,7.055463,0.000000,23.115387
2020-01-01 14:15:00,25.481504,35.075897,8.334926,6.742334,0.000000,23.016212
2020-01-01 14:20:00,25.614553,35.097080,8.230636,6.860214,0.000000,22.799675
2020-01-01 14:25:00,25.588783,35.317642,8.249092,6.862010,0.000000,23.388075
2020-01-01 14:30:00,25.731834,35.334789,8.282132,6.824497,0.000000,22.869892
2020-01-01 14:35:00,25.464802,35.349384,8.186075,6.752164,0.000000,23.503635
2020-01-01 14:40:00,25.732836,35.524464,8.248908,6.756633,0.000000,23.213875
2020-01-01 14:45:00,25.526651,35.297794,8.177261,6.729296,0.000000,23.531132
2020-01-01 14:50:00,25.590828,35.293823,8.182098,6.844018,0.000000,24.277939
2020-01-01 14:55:00,25.613279,35.342953,8.142683,6.596882,0.000000,23.382090
2020-01-01 15:00:00,25.388254,35.339184,8.167151,6.953211,0.000000,22.865839
2020-01-01 15:05:00,25.454994,35.273930,8.267669,6.952182,0.000000,23.259428
2020-01-01 15:10:00,26.012589,35.284840,8.289452,7.051482,0.000000,22.862675
2020-01-01 15:15:00,25.450142,35.209805,8.211422,6.702161,0.000000,23.844343
2020-01-01 15:20:00,25.182068,35.102238,8.208921,6.624768,0.000000,23.858290
2020-01-01 15:25:00,25.917236,35.201324,8.255286,6.741533,0.000000,23.217909
2020-01-01 15:30:00,25.388918,35.276993,8.268033,6.832694,0.000000,23.772665
2020-01-01 15:35:00,25.652725,35.291615,8.380510,6.580584,0.000000,23.216560
2020-01-01 15:40:00,25.647844,35.231289,8.208819,6.632293,0.000000,23.968975
2020-01-01 15:45:00,25.419949,35.151730,8.312468,7.100523,0.000000,24.128857
2020-01-01 15:50:00,25.868160,35.221558,8.254614,6.563394,0.000000,23.723093
2020-01-01 15:55:00,25.519299,35.174873,8.239828,6.763469,0.000000,23.905821
2020-01-01 16:00:00,25.332670,35.280628,8.212532,6.300860,0.000000,23.869095
2020-01-01 16:05:00,25.336885,35.392757,8.256763,6.444347,0.000000,24.175272
2020-01-01 16:10:00,25.582109,35.223373,8.231490,6.139388,0.000000,23.748541
2020-01-01 16:15:00,24.985033,35.403946,8.278972,6.343446,0.000000,23.673801
2020-01-01 16:20:00,25.349951,35.294476,8.307985,6.556952,0.000000,24.149618
2020-01-01 16:25:00,25.186361,35.293186,8.309869,6.447861,0.000000,24.192553
2020-01-01 16:30:00,25.471725,35.294395,8.240438,6.357678,0.000000,24.282539
2020-01-01 16:35:00,25.177179,35.334461,8.230341,6.534683,0.000000,23.842392
2020-01-01 16:40:00,24.957701,35.198807,5.000000,6.310076,0.000000,24.033302
2020-01-01 16:45:00,25.080153,35.138256,8.239324,6.293773,0.000000,24.010090
2020-01-01 16:50:00,25.677338,35.080242,8.244536,6.524890,0.000000,24.299709
2020-01-01 16:55:00,25.636732,35.398792,8.302475,6.437505,0.000000,24.681656
2020-01-01 17:00:00,25.471867,35.263119,8.295026,6.747161,0.000000,24.230955
2020-01-01 17:05:00,25.512526,35.322090,8.191480,6.230651,0.000000,24.720926
2020-01-01 17:10:00,25.519712,35.330078,8.340024,6.138229,0.000000,24.445232
2020-01-01 17:15:00,25.744484,35.497791,8.119731,6.196363,0.000000,24.958424
2020-01-01 17:20:00,25.765150,35.398457,8.272328,6.266043,0.000000,24.586763
2020-01-01 17:25:00,25.499823,35.231686,8.246479,6.286503,0.000000,24.683784
2020-01-01 17:30:00,25.330296,35.282917,8.254737,6.067673,0.000000,24.866776
2020-01-01 17:35:00,25.887592,35.305256,8.218874,6.550889,0.000000,25.177576
2020-01-01 17:40:00,25.622028,35.403198,8.286965,6.139930,0.000000,25.158495
2020-01-01 17:45:00,25.283642,35.018929,8.209587,6.516385,0.000000,25.189043
2020-01-01 17:50:00,25.164675,35.232235,8.214570,6.736087,0.000000,25.062630
2020-01-01 17:55:00,25.462370,35.193794,8.185723,6.925667,0.000000,25.080408
2020-01-01 18:00:00,24.648041,35.201889,8.217686,6.777792,0.000000,25.319506
2020-01-01 18:05:00,25.192995,35.222427,8.143441,6.396303,0.000000,25.040005
2020-01-01 18:10:00,25.504375,35.206665,8.158985,6.627054,0.000000,25.273922
2020-01-01 18:15:00,25.287451,34.992481,8.187256,6.844932,0.000000,25.391092
2020-01-01 18:20:00,24.974039,35.009251,8.186551,7.021336,0.000000,25.777323
2020-01-01 18:25:00,25.201712,34.917053,8.209208,6.529552,0.000000,25.730906
2020-01-01 18:30:00,25.344570,34.809120,8.129674,6.680954,0.000000,25.224646
2020-01-01 18:35:00,25.224052,34.707630,8.221519,6.584511,0.000000,25.875195
2020-01-01 18:40:00,25.281412,34.737106,8.207385,7.052992,0.000000,25.958597
2020-01-01 18:45:00,25.356525,34.755157,8.165492,7.041777,0.000000,26.678297
2020-01-01 18:50:00,25.460419,34.922550,8.171468,7.045692,0.000000,26.329664
2020-01-01 18:55:00,25.541578,35.105202,8.191692,7.139881,0.000000,26.761415
2020-01-01 19:00:00,25.472307,34.934326,8.168180,6.948679,0.000000,26.887253
2020-01-01 19:05:00,25.463375,34.840420,8.206406,7.057973,0.000000,26.967291
2020-01-01 19:10:00,25.370787,34.920280,8.321334,7.453487,0.000000,26.680872
2020-01-01 19:15:00,25.403477,34.705818,8.166919,7.212240,0.000000,27.332075
2020-01-01 19:20:00,25.825621,34.701321,8.338083,7.332595,0.000000,26.824392
2020-01-01 19:25:00,25.669943,34.595882,8.347143,7.535593,0.000000,27.520079
2020-01-01 19:30:00,25.690701,34.997238,8.249784,7.240188,0.000000,26.324886
2020-01-01 19:35:00,25.833370,34.717037,8.275467,8.004789,0.000000,27.130005
2020-01-01 19:40:00,25.706985,34.691814,8.379584,7.149890,0.000000,27.815948
2020-01-01 19:45:00,25.850979,34.865456,8.250876,7.637397,0.000000,27.125643
2020-01-01 19:50:00,25.621393,0.000000,8.223625,7.277047,0.000000,27.576693
2020-01-01 19:55:00,25.772232,34.908707,8.262506,7.491439,0.000000,27.448362
2020-01-01 20:00:00,25.290031,34.967377,8.262251,7.721492,0.000000,27.421780
2020-01-01 20:05:00,25.850323,34.679314,8.307726,7.133443,0.000000,27.291363
2020-01-01 20:10:00,25.950809,34.905800,8.328424,7.365957,0.000000,27.378408
2020-01-01 20:15:00,25.432661,34.659439,8.281699,7.603530,0.000000,27.288479
2020-01-01 20:20:00,25.531572,35.090111,8.279281,7.806084,0.000000,27.670898
2020-01-01 20:25:00,25.304829,34.691681,8.230492,7.529053,0.000000,26.624502
2020-01-01 20:30:00,25.876657,34.922947,8.288693,7.735995,0.000000,28.212355
2020-01-01 20:35:00,26.136524,34.768467,8.356472,7.974371,0.000000,27.273161
2020-01-01 20:40:00,25.801985,34.729427,8.280142,7.823530,0.000000,27.853718
2020-01-01 20:45:00,25.626020,34.688892,8.269943,7.743438,0.000000,26.971378
2020-01-01 20:50:00,25.764120,34.877377,8.309381,7.535828,600.000000,27.319286
2020-01-01 20:55:00,25.754053,34.857456,8.385522,7.482552,0.000000,27.307507
2020-01-01 21:00:00,25.503414,34.874180,8.292624,7.750906,0.000000,27.798460
2020-01-01 21:05:00,25.534344,34.951633,8.362758,7.965816,0.000000,27.727339
2020-01-01 21:10:00,25.505659,34.715054,8.220782,7.461004,0.000000,27.400375
2020-01-01 21:15:00,24.740841,34.815285,8.247639,7.535708,0.000000,28.205650
2020-01-01 21:20:00,25.219654,34.980400,8.261462,7.581126,0.000000,29.132202
2020-01-01 21:25:00,26.179373,34.944595,8.297038,7.847810,0.000000,27.766703
2020-01-01 21:30:00,25.996040,34.962818,8.271200,7.655509,0.000000,27.927149
2020-01-01 21:35:00,25.330643,34.949440,8.341943,7.436234,0.000000,28.564291
2020-01-01 21:40:00,25.647915,34.707443,8.341411,8.007108,0.000000,27.846319
2020-01-01 21:45:00,25.778912,35.066784,8.243323,7.757220,0.000000,27.239052
2020-01-01 21:50:00,25.807659,35.125881,8.271876,7.633454,0.000000,28.085562
2020-01-01 21:55:00,25.953787,34.896488,8.270715,7.666352,0.000000,28.263756
2020-01-01 22:00:00,25.241686,34.977509,8.233738,7.833671,0.000000,27.734768
2020-01-01 22:05:00,25.515612,34.897522,8.267571,7.380234,0.000000,27.147127
2020-01-01 22:10:00,26.224892,35.064049,8.298235,7.863704,0.000000,27.422342
2020-01-01 22:15:00,25.840635,34.795773,8.230486,7.609355,0.000000,27.418114
2020-01-01 22:20:00,25.534346,35.089924,8.394192,7.551809,0.000000,27.786453
2020-01-01 22:25:00,25.725981,35.083065,8.296460,7.969624,0.000000,27.463015
2020-01-01 22:30:00,25.470530,34.919823,8.289127,8.076862,0.000000,27.277653
2020-01-01 22:35:00,25.954262,35.161652,8.389249,8.486664,0.000000,26.610722
2020-01-01 22:40:00,25.180754,34.976406,8.396112,7.801086,0.000000,26.630445
2020-01-01 22:45:00,25.589735,35.132126,8.347421,8.474487,0.000000,27.112761
2020-01-01 22:50:00,25.805580,34.995853,8.305668,8.211416,0.000000,28.079102
2020-01-01 22:55:00,26.020220,34.990746,8.270951,8.380055,0.000000,27.035490
2020-01-01 23:00:00,26.125206,34.966732,8.321715,8.442324,0.000000,26.680874
2020-01-01 23:05:00,25.610222,35.096279,8.324547,8.223985,0.000000,26.872679
2020-01-01 23:10:00,25.172779,35.091908,8.306408,8.373625,0.000000,26.849676
2020-01-01 23:15:00,25.299307,35.043091,8.359507,8.710135,0.000000,26.345919
2020-01-01 23:20:00,25.610126,35.049019,8.341593,8.141242,0.000000,26.874985
2020-01-01 23:25:00,26.043615,34.848038,8.375123,8.197724,0.000000,26.396683
2020-01-01 23:30:00,25.434845,35.218113,8.305305,7.679716,0.000000,26.721193
2020-01-01 23:35:00,24.948721,35.140034,8.337189,7.951393,0.000000,26.660418
2020-01-01 23:40:00,25.751331,35.166454,8.335650,7.981863,0.000000,26.580132
2020-01-01 23:45:00,25.720928,35.159756,8.274776,7.857027,0.000000,26.446774
2020-01-01 23:50:00,26.385120,35.041889,8.414314,7.896743,0.000000,25.941227
2020-01-01 23:55:00,25.417402,35.192280,8.246226,7.718287,0.000000,26.402504
2020-01-02 00:00:00,25.578781,34.968472,8.375499,8.451563,0.000000,26.128393
2020-01-02 00:05:00,25.657839,35.163109,8.326181,8.006234,0.000000,25.573433
2020-01-02 00:10:00,25.802366,35.236191,8.195744,7.990615,0.000000,26.130156
2020-01-02 00:15:00,25.862753,35.204662,8.310287,7.732205,0.000000,25.722275
2020-01-02 00:20:00,25.636225,35.062008,8.393913,7.694264,0.000000,25.394356
2020-01-02 00:25:00,26.099136,34.971817,8.354237,7.837737,0.000000,25.737976
2020-01-02 00:30:00,25.149839,35.224361,8.378540,7.647415,0.000000,25.114630
2020-01-02 00:35:00,25.444395,35.143230,8.337026,7.645872,0.000000,25.432428
2020-01-02 00:40:00,25.509451,35.009922,8.359895,7.773117,0.000000,25.146749
2020-01-02 00:45:00,25.525400,35.124882,8.290082,7.940983,0.000000,25.350409
2020-01-02 00:50:00,25.593527,35.238216,8.337785,7.611934,0.000000,25.294518
2020-01-02 00:55:00,25.809925,35.166046,8.361153,7.681567,0.000000,25.709429
2020-01-02 01:00:00,50.000000,35.121254,8.438456,7.605267,0.000000,24.774183
2020-01-02 01:05:00,25.668890,35.081173,8.286009,7.965200,0.000000,24.779470
2020-01-02 01:10:00,25.125454,35.199699,8.258112,7.845561,0.000000,25.101070
2020-01-02 01:15:00,25.910398,35.130589,8.318301,7.698743,0.000000,24.458532
2020-01-02 01:20:00,25.503365,0.000000,8.353441,7.470937,0.000000,24.419741
2020-01-02 01:25:00,25.807804,35.090244,8.283592,7.609331,0.000000,24.820633
2020-01-02 01:30:00,25.277117,35.136581,8.386466,7.391155,0.000000,25.082178
2020-01-02 01:35:00,25.684965,35.214043,8.286461,7.744877,0.000000,24.706228
2020-01-02 01:40:00,25.637693,35.276604,8.361694,7.629682,0.000000,24.353592
2020-01-02 01:45:00,25.451513,35.105118,8.373712,7.417302,0.000000,25.327021
2020-01-02 01:50:00,25.912642,35.183392,8.323517,7.525287,0.000000,24.372387
2020-01-02 01:55:00,25.162880,35.125435,8.313354,7.195720,0.000000,25.096470
2020-01-02 02:00:00,25.538687,35.044579,8.272172,6.914698,0.000000,23.962124
2020-01-02 02:05:00,25.457302,35.273758,8.264335,7.307462,0.000000,24.034910
2020-01-02 02:10:00,26.029291,35.254337,8.322021,7.311131,0.000000,24.529078
2020-01-02 02:15:00,25.489296,35.199883,8.304375,6.947277,0.000000,24.605846
2020-01-02 02:20:00,25.775656,35.168495,8.274482,7.007235,0.000000,23.744123
2020-01-02 02:25:00,25.778555,35.307823,8.296019,6.962210,0.000000,24.104782
2020-01-02 02:30:00,25.505590,35.258259,8.306309,6.972699,0.000000,23.412266
2020-01-02 02:35:00,25.934538,35.071079,8.333718,7.249012,0.000000,23.398788
2020-01-02 02:40:00,25.635252,35.177475,8.364584,6.895056,0.000000,24.240833
2020-01-02 02:45:00,25.106087,35.195267,8.304631,7.387605,0.000000,24.328627
2020-01-02 02:50:00,25.901316,35.210747,8.291067,7.011396,0.000000,23.656931
2020-01-02 02:55:00,25.989048,35.327408,8.318847,7.341358,0.000000,24.135736
2020-01-02 03:00:00,26.473948,35.192806,8.263312,7.083759,0.000000,23.625753
